id,id_region,id_tipo_delegacion,id_delegacion_o_ct,id_nomenclatura,temp_id,num_delegaciona,nivel_delegaciona,sede_delegaciona,fecha_inicio_delegaciona,fecha_final_delegaciona,direccion_delegaciona,cp_delegaciona,ciudad_delegaciona,estado_delegaciona,created_at,updated_at
74,8,1,1,2,74,26,TELEBACHILLERATO,ORIZABA,15/02/2023,16/02/2026,"NORTE2 #192, DEPARTAMENTO 4, OFICINA 2B, COLONIA: CENTRO",94300,ORIZABA,VERACRUZ,NULL,NULL
75,8,1,1,1,75,3,PRIMARIAS,ACULTZINGO,10/02/2023,10/02/2026,SALVADOR GONZALO GARCÍA 1205. COL. SIDAR.,94745,CD. MENDOZA,VERACRUZ,NULL,NULL
76,9,1,1,2,76,27,TELEBACHILLERATO,TIERRA BLANCA,15/02/2023,15/02/2026,RODRÍGUEZ TEJEDA,95207,TIERRA BLANCA,VERACRUZ,NULL,NULL
77,8,1,1,3,77,5,EDUCACION FISICA,ORIZABA,13/02/2023,13/02/2026,,0,,VERACRUZ,NULL,NULL
78,1,1,1,1,78,91,PREESCOLAR,PANUCO,09/02/2023,09/02/2026,CALLE AYUNTAMIENTO COL. BURÓCRATA,93998,PÁNUCO,VERACRUZ,NULL,NULL
79,1,1,1,1,79,44,PRIMARIAS,PLATON SANCHEZ,07/02/2023,07/02/2026,,93148,PLATON SÁNCHEZ,VERACRUZ,NULL,NULL
80,5,1,1,3,80,16,EDUCACION FISICA,COATEPEC,09/02/2023,09/02/2026,JUAN SOTO #88,91270,COATEPEC,VERACRUZ,NULL,NULL
81,7,1,1,1,81,64,PREESCOLAR,CORDOBA,07/02/2023,07/02/2026,AVENIDA 10 PRIVADA CALLES 20 Y 16,94510,CÓRDOBA,VERACRUZ,NULL,NULL
82,5,1,1,2,82,38,TELESECUNDARIA,XALAPA,07/02/2023,07/02/2026,,0,XALAPA,VERACRUZ,NULL,NULL
83,5,1,1,2,83,13,NORMAL,XALAPA,10/02/2023,10/02/2026,AV.XALAPA S/N,91010,XALAPA,VERACRUZ,NULL,NULL
84,1,1,1,1,84,51,PRIMARIAS,TANTOYUCA,08/02/2023,08/02/2026,REVOLUCIÓN ESQ. CON CARRETERA NACIONAL MEXICO-TUXPAN COL. REFORMA,92101,TANTOYUCA,VERACRUZ,NULL,NULL
85,5,1,1,2,85,15,BACHILLERATOS VESPERTINOS,XALAPA,07/02/2023,07/02/2026,BENITO JUÁREZ 57,91000,XALAPA,VERACRUZ,NULL,NULL
86,1,1,1,1,86,52,PRIMARIAS,TEMPOAL,07/02/2023,07/02/2026,CLLE.URSULO GALVAN ESQ.AV.5 DE MAYO S/N COLONIA 20 DE NOVIEMBRE,92061,TEMPOAL,VERACRUZ,NULL,NULL
87,5,1,1,3,87,8,ADMINISTRATIVOS Y DOCENTES DE LA D.G.B.,XALAPA,10/02/2023,09/02/2026,PASAJE REVOLUCIÓN ALTOS S/N,91000,XALAPA,VERACRUZ,NULL,NULL
88,5,1,1,2,88,24,UNIVERSIDAD PEDAGOGICA VERACRUZANA,XALAPA,09/02/2023,09/02/2026,"AV. JUSTINO SARMIENTO S/N, ENTRE AV. AMÉRICAS Y CALLE PICO DE ORIZABA. COLONIA LADERA DEL MACUILTEPETL",91133,XALAPA,VERACRUZ,NULL,NULL
89,6,1,1,1,89,7,PRIMARIAS,BOCA DEL RIO,07/02/2023,07/02/2026,CALLE ELECTRICISTAS NO. 244,91918,VERACRUZ,VERACRUZ,NULL,NULL
90,1,1,1,1,90,39,PRIMARIAS,PANUCO,08/02/2023,08/02/2026,COL. BUROCRATA CALLE AYUNTAMIENTO,93998,PÁNUCO,VERACRUZ,NULL,NULL
91,1,1,1,3,91,17,EDUCACION FISICA,TANTOYUCA,07/02/2023,07/02/2026,CALLE NIÑOS HÉROES 413,92127,TANTOYUCA,VERACRUZ,NULL,NULL
92,9,1,1,2,92,43,BACHILLERATO,ALVARADO,07/02/2023,06/02/2026,NEZAHUALCÓYOTL 8,95270,ALVARADO,VERACRUZ,NULL,NULL
93,9,1,1,1,93,6,PRIMARIAS,ALVARADO,07/02/2023,07/02/2026,PARQUE 15 DE OCTUBRE COL CENTRO,95270,ALVARADO,VERACRUZ,NULL,NULL
94,5,1,1,2,94,3,BACHILLERATO  ARTICULO 3° DIURNA,XALAPA,14/02/2023,14/02/2026,AV. ADOLFO RUIZ CORTINES 2901 COL. UNIDAD MAGISTERIAL,91010,XALAPA,VERACRUZ,NULL,NULL
95,9,1,1,1,95,56,PRIMARIAS,TIERRA BLANCA,09/02/2023,09/02/2026,MORELOS ESQUINA AGRARISTA,95110,TIERRA BLANCA,VERACRUZ,NULL,NULL
